ministry,hhi,ministry_total
Ministry Of Energy,0.9420540757523412,6959856432.0
Ministry Of Finance,0.5809657610440158,19561756168.0
Ministry Of Francophone Affairs,0.5629722336484914,3970169.0
Ministry Of Transportation,0.37482711574884275,14332092483.0
Office Of The Lieutenant Governor,0.33351811570234,466872.0
"Ministry Of Agriculture, Food And Rural Affairs",0.31905711476078663,555536273.0
Ministry For Seniors And Accessibility,0.30818938635381576,42790286.0
Ministry Of The Attorney General,0.20213205209073049,999590230.0
Ministry Of Citizenship And Multiculturalism,0.1794365715651881,49549784.0
Ministry Of Northern Development ,0.17559381384772066,320680861.0
Ombudsman Ontario,0.17290729299710075,10530239.0
Treasury Board Secretariat,0.17270184791875914,2703005871.0
Ministry Of Infrastructure,0.16803183446077652,1922598457.0
"Ministry Of Children, Community And Social Services",0.13323407401379495,17712993262.0
Ministry Of Municipal Affairs And Housing,0.13250837424898776,2140272187.0
Office Of The Premier,0.11947015780223891,530803.0
"Ministry Of Economic Development,Job Creation And Trade",0.11063753492997039,1059653671.0
"Ministry Of Tourism, Culture And Sport",0.0883225865200305,494584219.0
Cabinet Office,0.0837785403381415,9138632.0
Ministry Of Health,0.08319468049937788,80327654566.0
Office Of The Assembly,0.07060567115371602,117113191.0
Ministry Of Colleges And Universities,0.06992915051228933,8082760207.0
Ministry Of Mines,0.06583343527862094,110519664.0
Office Of The Auditor General,0.0653587154014669,12827915.0
Ministry Of Public And Business Service Delivery,0.05339872268547907,793640350.0
Ministry Of Solicitor General,0.04677179603149987,2041943409.0
"Ministry Of Labour, Immigration, Training And Skills Development",0.03884973068112839,1538363542.0
"Ministry Of Environment, Conservation And Parks",0.032346187471124783,216820836.0
Ministry Of Natural Resources And Forestry,0.03108374742795008,573941383.0
Office Of The Chief Electoral Officer,0.028515315055902445,174842798.0
Ministry Of Education,0.024220497230599117,35658477439.0
Ministry Of Indigenous Affairs,0.020416949778786324,94806531.0
Ministry Of Long-Term Care,0.011651856788442267,8391640678.0
