vendor,total_paid,share_of_total,concentration_flag
Payments Made For Services And Care Provided By Physicians And Practitioners,18202785225.0,0.08792981027241968,high
Interest On Ontario Securities Public Issues,14755354675.0,0.07127675908042314,high
Odb,9639392332.0,0.046563749910650126,high
Ontario Health/Sante Ontario,9479023373.0,0.045789076586532196,high
Metrolinx,8717760904.0,0.04211174569242537,high
"Accounts Under $120,000/Comptes Inférieurs À 120 000$",6929010300.0,0.03347106245135856,high
Independent Electricity System Operator,6753702551.0,0.03262422627116323,high
City Of Toronto,4469740136.0,0.021591388200620787,high
Toronto District School Board,2709582519.0,0.013088825356567652,high
University Health Network,1857818996.0,0.008974322875293785,monitor
Peel District School Board,1826969142.0,0.008825300526481677,monitor
Rbc-Ontaxrebat,1735699074.0,0.00838441416411507,monitor
Ontario Infrastructure And Lands Corporation,1714220433.0,0.008280660106442315,monitor
Dh Corporation/Societe Dh,1706000001.0,0.008240950742343212,monitor
Ontario Teachers' Pension Plan Board,1677697568.0,0.00810423388647876,monitor
Hamilton Health Sciences Corp,1469062066.0,0.007096405695342641,monitor
London Health Sciences Centre,1387958358.0,0.006704628636574992,monitor
York Region District School Board,1385906636.0,0.006694717651856897,monitor
Trillium Health Partners,1375702734.0,0.006645426999036025,monitor
Ottawa Hospital,1265417268.0,0.006112685444305881,monitor
Unity Health Toronto (O/A Providence St Josephs & St Michaels Healthcare),1227356758.0,0.005928831524051129,monitor
Thames Valley District School Board,1205222470.0,0.005821910318296195,monitor
Toronto Catholic District School Board,1174265051.0,0.005672368369328119,monitor
Cibc-Ontaxrebat,1099927600.0,0.005313276181963957,monitor
Regional Municipality Of Peel,1064857506.0,0.005143867672577124,monitor
Ottawa-Carleton District School Board,1044310459.0,0.005044613744014195,monitor
Durham District School Board,1039513949.0,0.005021443871433898,monitor
