vendor,total_paid,share_of_total,concentration_flag
Payments Made For Services And Care Provided By Physicians And Practitioners,18202785225,0.08792981,high
Interest On Ontario Securities Public Issues,14755354675,0.071276759,high
Odb,9639392332,0.04656375,high
Ontario Health/Sante Ontario,9479023373,0.045789077,high
Metrolinx,8717760904,0.042111746,high
"Accounts Under $120,000/Comptes Inférieurs À 120 000$",6929010300,0.033471062,high
Independent Electricity System Operator,6753702551,0.032624226,high
City Of Toronto,4469740136,0.021591388,high
Toronto District School Board,2709582519,0.013088825,high
University Health Network,1857818996,0.008974323,monitor
Peel District School Board,1826969142,0.008825301,monitor
Rbc-Ontaxrebat,1735699074,0.008384414,monitor
Ontario Infrastructure And Lands Corporation,1714220433,0.00828066,monitor
Dh Corporation/Societe Dh,1706000001,0.008240951,monitor
Ontario Teachers' Pension Plan Board,1677697568,0.008104234,monitor
Hamilton Health Sciences Corp,1469062066,0.007096406,monitor
London Health Sciences Centre,1387958358,0.006704629,monitor
York Region District School Board,1385906636,0.006694718,monitor
Trillium Health Partners,1375702734,0.006645427,monitor
Ottawa Hospital,1265417268,0.006112685,monitor
Unity Health Toronto (O/A Providence St Josephs & St Michaels Healthcare),1227356758,0.005928832,monitor
Thames Valley District School Board,1205222470,0.00582191,monitor
Toronto Catholic District School Board,1174265051,0.005672368,monitor
Cibc-Ontaxrebat,1099927600,0.005313276,monitor
Regional Municipality Of Peel,1064857506,0.005143868,monitor
Ottawa-Carleton District School Board,1044310459,0.005044614,monitor
Durham District School Board,1039513949,0.005021444,monitor
City Of Ottawa,1007858164,0.004868528,none
Sunnybrook Health Sciences Centre,988830864,0.004776616,none
William Osler Health System,984501743,0.004755704,none
University Of Toronto,973883610,0.004704412,none
Dufferin-Peel Catholic District School Board,942526704,0.00455294,none
Regional Municipality Of York,847849343,0.004095595,none
Ontario Pension Board,831713654,0.00401765,none
Waterloo Region District School Board,818902000,0.003955763,none
Hospital For Sick Children (Hsc),808635486,0.00390617,none
Canadian Blood Services,776212650,0.003749549,none
Halton District School Board,763452452,0.00368791,none
Lakeridge Health,757736511,0.003660299,none
Scarborough Health Network,751110134,0.003628289,none
Ottawa Catholic District School Board,743763051,0.003592799,none
Sinai Health System,732832891,0.00354,none
Hamilton-Wentworth District School Board,727367885,0.003513601,none
Simcoe County District School Board,723009385,0.003492547,none
Niagara Health System,668496572,0.003229219,none
Kingston Health Sciences Centre,649333277,0.003136649,none
St Joseph'S Healthcare Hamilton,648351106,0.003131905,none
Mackenzie Health,647802880,0.003129257,none
Humber River Health,620399445,0.002996882,none
York Catholic District School Board,605180276,0.002923365,none
District School Board Of Niagara,599773839,0.002897249,none
Receiver General Of Canada,585983545,0.002830634,none
Greater Essex County District School Board,580925722,0.002806202,none
Halton Healthcare Services Corp,579889720,0.002801197,none
Family Service Toronto,559529086,0.002702844,none
Regional Municipality Of Durham,535339489,0.002585994,none
Toronto East Health Network,524252125,0.002532436,none
Regional Municipality Of Niagara,521242899,0.0025179,none
Halton Catholic District School Board,513867878,0.002482274,none
Conseil Des Ecoles Catholiques Du Centre-Est (Cecce),512886947,0.002477536,none
The Canada Life Assurance Company (O/A London Life Insurance Company),511076756,0.002468792,none
Windsor Regional Hospital,508896385,0.002458259,none
Health Sciences North,507628218,0.002452133,none
Centre For Addiction And Mental Health,504545483,0.002437242,none
Kawartha Pine Ridge District School Board,489048155,0.002362381,none
Southlake Regional Health Centre,487658510,0.002355668,none
Accerta Services Inc,482731077,0.002331866,none
Regional Municipality Of Waterloo,482248206,0.002329533,none
Upper Grand District School Board,479619372,0.002316834,none
Corporation Of The City Of Hamilton (O/A City Of Hamilton),472572966,0.002282796,none
University Of Ottawa,469979687,0.002270269,none
Gip Paving Inc,466080210,0.002251433,none
Extendicare (Canada) Inc,462976583,0.00223644,none
St Joseph'S Health Care London (O/A Southwest Centre For Forensic Mental Health Care),442561854,0.002137826,none
Hamilton-Wentworth Catholic District School Board,441510413,0.002132747,none
North York General Hospital,439946817,0.002125193,none
Children'S Hospital Of Eastern Ontario - Ottawa Children'S Treatment Centre,436426850,0.00210819,none
Lifelabs Lp,423970480,0.002048019,none
Upper Canada District School Board,422812751,0.002042426,none
Ontario Electricity Financial Corporation,400445740,0.001934381,none
London District Catholic School Board,399802177,0.001931272,none
Grand River Hospital Corporation,398136433,0.001923226,none
Grand Erie District School Board,396153800,0.001913648,none
Regional Municipality Of Halton,393251286,0.001899627,none
Royal Victoria Regional Health Centre,392647497,0.001896711,none
Simcoe Muskoka Catholic District School Board,386746683,0.001868207,none
Waterloo Catholic District School Board,383702159,0.0018535,none
University Of Western Ontario,367097246,0.001773289,none
The Corporation Of The City Of London,358247390,0.001730539,none
Thunder Bay Regional Health Sciences Centre,351762979,0.001699215,none
Windsor-Essex Catholic District School Board,346908224,0.001675764,none
Peterborough Regional Health Centre,346061634,0.001671675,none
Conseil Des Ecoles Publiques De L'Est De L'Ontario,345550228,0.001669204,none
Legal Aid Ontario,345003706,0.001666564,none
Ontario Government Pharmacy & Medical Supply Services,343866039,0.001661069,none
York University,343527939,0.001659435,none
Ornge,340938099,0.001646925,none
Conseil Scolaire De District Catholique Monavenir,337277082,0.00162924,none
North Bay Regional Health Centre,336701893,0.001626462,none
Niagara Catholic District School Board,328906230,0.001588804,none
Mcmaster University,325028736,0.001570074,none
Opseu Pension Trust,323762474,0.001563957,none
Canada Pension Plan Investment Board……………………………….,322384847,0.001557302,none
Flextrack Inc,319492165,0.001543329,none
University Of Guelph,317280160,0.001532644,none
Lambton Kent District School Board,311930710,0.001506803,none
Toronto Metropolitan University,307091864,0.001483428,none
Limestone District School Board,306887897,0.001482443,none
Oak Valley Health,305691691,0.001476665,none
Agricorp,301963688,0.001458656,none
The Corporation Of The City Of Windsor,294143906,0.001420882,none
Nextstar Energy Inc,293968316,0.001420034,none
Student Loan Receivable,292009119,0.00141057,none
Corporation Of The County Of Simcoe,291448192,0.001407861,none
"Accounts Under $50,000/Comptes Inférieurs À 50 000$",289168938,0.001396851,none
Conseil Scolaire Viamonde,289041153,0.001396233,none
Durham Catholic District School Board,287242974,0.001387547,none
University Of Waterloo,282205942,0.001363215,none
Quinte Health,279659252,0.001350913,none
Ontario Northland Transportation Commission,273550708,0.001321406,none
Bluewater District School Board,271722966,0.001312577,none
Schlegel Villages Inc,269923829,0.001303886,none
2063414 Investment Lp (O/A Leisureworld),252370488,0.001219093,none
Sault Area Hospital,251482632,0.001214804,none
Queensway Carleton Hospital,251308407,0.001213963,none
Queen'S University ,244920549,0.001183106,none
Avon Maitland District School Board,243485694,0.001176174,none
Axium Extendicare Ltc Ii Lp,240240896,0.0011605,none
Brant Community Healthcare System,239970920,0.001159196,none
Hastings And Prince Edward District School Board,239666873,0.001157727,none
Crh Canada Group Inc,239041583,0.001154707,none
Rainbow District School Board,237708815,0.001148269,none
Revera Long Term Care Inc,236438379,0.001142132,none
University Of Ottawa Heart Institute,234599360,0.001133248,none
Catholic District School Board Of Eastern Ontario,233576639,0.001128308,none
Hopital Montfort (O/A Montfort Hospital),232778712,0.001124454,none
Conseil Scolaire De District Catholique De L'Est Ontarien,229328091,0.001107785,none
Bruyère Health / Santè Bruyère,229186632,0.001107102,none
Peterborough Victoria Northumberland & Clarington Catholic District School Board,225112512,0.001087422,none
Wcg International Consultants Ltd,224649571,0.001085185,none
Brightshores Health System,223374195,0.001079024,none
Joseph Brant Hospital,223076532,0.001077587,none
City Of Greater Sudbury,220891988,0.001067034,none
Emcon Services Inc,220662296,0.001065924,none
Algoma District School Board,218987730,0.001057835,none
St Joseph'S Care Group Corp,217593393,0.0010511,none
St Mary'S General Hospital,217154482,0.00104898,none
Trillium Lakelands District School Board,211699660,0.00102263,none
Bell Mobility Inc,209630524,0.001012635,none
Algonquin And Lakeshore Catholic District School Board,209534980,0.001012173,none
Gainstps,209030884,0.001009738,none
Dynacare-Gamma Laboratory Partnership (O/A Dynacare),206750365,0.000998722,none
Ontario Agency For Health Protection And Promotion,203248152,0.000981804,none
Debt Issuance Cost,201052123,0.000971196,none
Conseil Scolaire Catholique Providence,200383412,0.000967966,none
Bluewater Health,199854500,0.000965411,none
Providence Care Centre,197193054,0.000952555,none
The Manufacturers Life Insurance Company/La Compagnie D'Assurance-Vie Manufacturers,194585733,0.00093996,none
Carleton University,190802223,0.000921683,none
Brant Haldimand Norfolk Catholic District School Board,190224784,0.000918894,none
Accertaclaim Servicorp Inc,189492919,0.000915359,none
Karis Disability Services,188233672,0.000909276,none
Royal Ottawa Health Care Group /Services De Sante Royal Ottawa,187645896,0.000906436,none
Brennan Paving & Construction Ltd,186122701,0.000899079,none
City Of St Thomas,185534852,0.000896239,none
Near North District School Board,183910155,0.000888391,none
Waypoint Centre For Mental Health Care,182426262,0.000881223,none
Cambridge Memorial Hospital,177332720,0.000856618,none
Integrated Maintenance & Operations Services Inc (Imos),174862555,0.000844686,none
Guelph General Hospital,172475707,0.000833156,none
Chatham-Kent Health Alliance,172086724,0.000831277,none
Weeneebayko Area Health Authority,171797521,0.00082988,none
Orillia Soldiers Memorial Hospital,166862923,0.000806043,none
Ontario Shores Centre For Mental Health Sciences,164313052,0.000793726,none
Renfrew County District School Board,162663915,0.000785759,none
Children'S Aid Society Of Toronto,161608160,0.000780659,none
St Clair Catholic District School Board,160178992,0.000773756,none
Lakehead District School Board,157958534,0.00076303,none
District School Board Ontario North East,157571062,0.000761158,none
Humber College Institute Of Technology & Advanced Learning,155449669,0.00075091,none
Conseil Scolaire Catholique De District Des Grandes-Rivieres,154617275,0.000746889,none
George Brown College Of Applied Arts & Technology,153263253,0.000740349,none
Conseil Scolaire De District Catholique Du Nouvel-Ontario,151969499,0.000734099,none
Cornwall Community Hospital,151492847,0.000731797,none
Nishnawbe-Aski Police Service,150172551,0.000725419,none
Rykka Care Centres Lp,148864536,0.0007191,none
The Corporation Of The Municipality Of Chatham-Kent,147783562,0.000713879,none
Sanofi Pasteur Ltd,147477928,0.000712402,none
Woodstock Hospital,143581949,0.000693583,none
County Of Lambton,138154252,0.000667364,none
Wellington Catholic District School Board,137455248,0.000663987,none
Miller Paving Limited,136844730,0.000661038,none
Royale Development Lp,136558833,0.000659657,none
Grandview Children'S Centre,136239915,0.000658116,none
Women'S College Hospital,136016510,0.000657037,none
Hotel-Dieu Grace Healthcare,134627280,0.000650326,none
Thunder Bay Catholic District School Board,134254852,0.000648527,none
Hamilton Niagara Haldimand Brant Local Health Integration Network,133846729,0.000646556,none
Regency Ltc Operating Limited Partnership On Behalf Of Regency Operator Gp Inc As General Partner,133834122,0.000646495,none
Timmins & District Hospital,133732305,0.000646003,none
Omni Healthcare Limited Partnership,133604010,0.000645383,none
Workplace Safety Insurance Board,133327403,0.000644047,none
Hydro One Networks Inc,132481412,0.000639961,none
Algonquin College Of Applied Arts & Technology,132272709,0.000638952,none
Bell Canada,130686062,0.000631288,none
Link 427 General Partnership,128547410,0.000620957,none
St Thomas-Elgin General Hospital,127412834,0.000615476,none
Seneca College Of Applied Arts & Technology,127061467,0.000613779,none
Wataynikaneyap Power Lp,126800000,0.000612516,none
Ontario Health Athome,126516021,0.000611144,none
Goldman Spring Kichler & Sanders Llp,125341258,0.00060547,none
March Of Dimes Canada,125199623,0.000604785,none
Northern Ontario Heritage Fund Corporation,125000000,0.000603821,none
Caressant-Care Nursing And Retirement Homes Ltd,124137808,0.000599656,none
County Of Hastings,123767050,0.000597865,none
Microsoft Canada Inc,123094116,0.000594615,none
Brockville General Hospital,121280861,0.000585856,none
Keewatin-Patricia District School Board,120783534,0.000583453,none
Ontario Trillium Foundation,120390341,0.000581554,none
Central East Local Health Integration Network,119240500,0.000575999,none
Sudbury Catholic District School Board,118963365,0.000574661,none
Brewers Retail Inc,118237968,0.000571157,none
Wilfrid Laurier University,117809553,0.000569087,none
Ross Memorial Hospital,117771308,0.000568902,none
Children'S Aid Society Of Ottawa,115608870,0.000558457,none
University Of Windsor,115505976,0.00055796,none
Brock University,115303464,0.000556981,none
Assistive Devices And Supplies Program,114753318,0.000554324,none
Centralized Supply Chain Ontario,113000000,0.000545854,none
Muskoka Algonquin Healthcare (Mahc),112934255,0.000545537,none
Ari Financial Services Inc,110976674,0.00053608,none
Renfrew County Catholic District School Board,110257834,0.000532608,none
Corporation Of The County Of Wellington,109087065,0.000526953,none
Fowler Construction Company Ltd,107867278,0.00052106,none
Mohawk College Of Applied Arts & Technology,107378640,0.0005187,none
Victorian Order Of Nurses For Canada - Ontario Branch,106522407,0.000514564,none
Cota Health,105154975,0.000507958,none
Fanshawe College Of Applied Arts & Technology,104574968,0.000505157,none
Pembroke Regional Hospital Inc,102269829,0.000494021,none
Baycrest Centre For Geriatric Care,102027680,0.000492852,none
County Of Grey,100743409,0.000486648,none
Holland Bloorview Kids Rehabilitation Hospital,100021650,0.000483161,none
The Corporation Of The City Of Mississauga,97660417,0.000471755,none
Health Integration Network Of Toronto Central,95527328,0.000461451,none
Iris L.P.,94950910,0.000458667,none
Laurentian University Of Sudbury,94922110,0.000458528,none
Yee Hong Centre For Geriatric Care,93846793,0.000453333,none
Sheridan College Institute Of Technology & Advanced Learning,93418762,0.000451266,none
Northumberland Hills Hospital,93195310,0.000450186,none
Huron-Superior Catholic District School Board,93140293,0.000449921,none
Huron Perth Healthcare Alliance,92923234,0.000448872,none
District Of Thunder Bay Social Services Administration Board,92440198,0.000446539,none
Champlain Local Health Integration Network,91782960,0.000443364,none
Community Living Toronto,91613603,0.000442546,none
County Of Renfrew,91211477,0.000440603,none
Durham College Of Applied Arts & Technology,90334804,0.000436369,none
Groupm Canada Inc.,88857095,0.00042923,none
Conseil Scolaire De District Du Grand Nord De L'Ontario,87882732,0.000424524,none
Governing Council Of The Salvation Army In Canada,86152497,0.000416166,none
County Of Oxford,85944842,0.000415162,none
Unison Health & Community Services,85735391,0.000414151,none
Sunbeam Community & Developmental Services,85385252,0.000412459,none
Georgian Bay General Hospital,85122268,0.000411189,none
Perth & Smiths Falls District Hospital,85117575,0.000411166,none
City Of Kawartha Lakes,84858078,0.000409913,none
United Counties Of Leeds & Grenville,84787115,0.00040957,none
Centennial College Of Applied Arts & Technology,84296504,0.0004072,none
Tikinagan Child And Family Services,84293699,0.000407187,none
Bruce-Grey Catholic District School Board,83070137,0.000401276,none
Headwaters Health Care Centre,82691990,0.000399449,none
University Of Ontario Institute Of Technology,82124066,0.000396706,none
Vigour Limited Partnership On Behalf Of Vigour General Partner Inc,81943898,0.000395836,none
South West Local Health Integration Network,81755109,0.000394924,none
The Catholic Children'S Aid Society Of Toronto,81553755,0.000393951,none
Children'S Aid Society Of The Region Of Peel,81231898,0.000392396,none
The Corporation Of The City Of Peterborough,81207827,0.00039228,none
City Of Hamilton,80441408,0.000388578,none
Huron Perth Catholic District School Board,79813283,0.000385544,none
Lumenus Community Services,79711646,0.000385053,none
Conseil Scolaire Catholique Franco-Nord,79663019,0.000384818,none
The Corporation Of The City Of Kingston,79521732,0.000384135,none
Mon Sheong Foundation,79123420,0.000382211,none
Erinoakkids Centre For Treatment And Development,79028040,0.00038175,none
The Corporation Of The City Of Brantford (O/A The City Of Brantford),78594606,0.000379657,none
Lakehead University,77647711,0.000375083,none
Health Integration Network Of Mississauga Halton,77643648,0.000375063,none
The Corporation Of The City Of Thunder Bay,77270342,0.00037326,none
Rbc Investor Services Trust Fiducie Rbc Services Aux Investisseurs,77038503,0.00037214,none
Webber Infrastructure Management Canada Ltd,76777246,0.000370878,none
Norfolk County,76723709,0.000370619,none
Loft Community Services,76574933,0.0003699,none
Georgian College Of Applied Arts And Technology,76536401,0.000369714,none
Northern Ontario School Of Medicine,76528835,0.000369678,none
Corporation Of The City Of Cornwall,76350071,0.000368814,none
Cvh (No 6) Gp Inc As General Partner Of Cvh (No 6) Lp,76260284,0.000368381,none
Lake Of The Woods District Hospital (Lwdh),75361987,0.000364041,none
The Collingwood General And Marine Hospital,75205174,0.000363284,none
Pioneer Construction Inc.,74962233,0.00036211,none
Surrey Place,74407756,0.000359432,none
Serco Canada Inc,73878432,0.000356875,none
Kerry'S Place Autism Services,73831115,0.000356646,none
District Of Nipissing Social Services Administration Board,73779908,0.000356399,none
Reena Inc.,73703121,0.000356028,none
Kenora District Services Board,73567079,0.000355371,none
Dnaagdawenmag Binnoojiiyag Child And Family Services,72953749,0.000352408,none
Riverside Health Care Facilities Inc,72787757,0.000351606,none
Corporation Of The County Of Bruce,72744078,0.000351395,none
Ontario Institute For Cancer Research,72000000,0.000347801,none
Service Coordination For Persons With Special Needs,71807031,0.000346869,none
Teranorth Construction & Engineering Ltd,71439066,0.000345091,none
Rainy River District School Board,70624742,0.000341158,none
District Municipality Of Muskoka,70478898,0.000340453,none
Salvation Army Toronto Grace Health Centre,69698052,0.000336681,none
Peoplecare Communities Inc (O/A Oakcrossing Retirement Living),69576124,0.000336092,none
District Of Cochrane Social Services Administration Board,69135374,0.000333963,none
Baycrest Hospital,68680229,0.000331765,none
United Counties Of Prescott & Russell,68657529,0.000331655,none
District Of Sault Ste Marie Social Services Administration Board,67007630,0.000323685,none
Helsons Llp,65463982,0.000316228,none
St Clair College Of Applied Arts And Technology,65457335,0.000316196,none
Norfolk General Hospital,65112214,0.000314529,none
West Parry Sound Health Centre,64340479,0.000310801,none
Sir Sandford Fleming College Of Applied Arts & Technology,64306312,0.000310636,none
Hopital General De Hawkesbury & District General Hospital Inc,63938564,0.00030886,none
Centre For Independent Living In Toronto (Cilt) Inc,63848787,0.000308426,none
Fair Hydro Trust,63683220,0.000307626,none
Nipissing-Parry Sound Catholic District School Board,63336953,0.000305954,none
Conseil Scolaire Public Du Nord-Est De L'Ontario,63199594,0.00030529,none
Schlegel-Uw Research Institute For Aging Foundation,63045000,0.000304543,none
Ontario Educational Communications Authority,62495845,0.00030189,none
Fedcap Canada,62137874,0.000300161,none
Trent University,61860935,0.000298824,none
Kinark Child & Family Services,61633138,0.000297723,none
Sioux Lookout Meno-Ya-Win Health Centre,61203670,0.000295649,none
Motion Lp,61177172,0.000295521,none
Waterloo Wellington Local Health Integration Network,61134099,0.000295312,none
St Joseph'S Health Centre (Guelph),61100886,0.000295152,none
Compass Group Canada Ltd,60780211,0.000293603,none
Toronto Waterfront Revitalization Corporation,60765244,0.000293531,none
Children'S Aid Society Of London And Middlesex,60673748,0.000293089,none
Northern Health Travel Grant,60449517,0.000292006,none
Partners Community Health,60363837,0.000291592,none
Ontario Arts Council,60349558,0.000291523,none
Ontario Federation Of Indigenous Friendship Centres (Ofifc),59808852,0.000288911,none
"Arnold, Foster Llp",59621269,0.000288005,none
General Administration Expenses Including Bank Charges,59356051,0.000286724,none
Windsor-Essex Children'S Aid Society,58560670,0.000282881,none
Children'S Treatment Network Of Simcoe York,58420312,0.000282203,none
Catulpa Community Support Services Inc,58275096,0.000281502,none
Ontario Centre Of Innovation/Centre D'Innovation De L'Ontario,58163452,0.000280963,none
Conestoga College Institute Of Technology & Advanced Learning,58153537,0.000280915,none
Corporation Of The County Of Northumberland,57450848,0.00027752,none
Wsp Canada Inc,56991125,0.0002753,none
Durham Children'S Aid Society,56718751,0.000273984,none
Northeastern Catholic District School Board,56703994,0.000273913,none
Compucom Canada Co,56651297,0.000273658,none
Perley & Rideau Veterans' Health Centre,56573665,0.000273283,none
Erie Shores Healthcare,56560641,0.00027322,none
City Of Brampton,56269076,0.000271812,none
The Corporation Of The County Of Middlesex,56204315,0.000271499,none
Telus Communications Inc,56178518,0.000271374,none
