vendor,total_paid,share_of_total,concentration_flag,ministries_count,ministries_list,concentration_weight,dependency_score,spof_flag,risk_tier
"Accounts Under $120,000/Comptes Inférieurs À 120 000$",6929010300.0,0.0334710624513585,high,26,"['Ministry For Seniors And Accessibility', 'Ministry Of Children, Community And Social Services', 'Ministry Of Citizenship And Multiculturalism', 'Ministry Of Colleges And Universities', 'Ministry Of Economic Development,Job Creation And Trade', 'Ministry Of Education', 'Ministry Of Energy', 'Ministry Of Environment, Conservation And Parks', 'Ministry Of Finance', 'Ministry Of Francophone Affairs', 'Ministry Of Health', 'Ministry Of Indigenous Affairs', 'Ministry Of Infrastructure', 'Ministry Of Labour, Immigration, Training And Skills Development', 'Ministry Of Long-Term Care', 'Ministry Of Mines', 'Ministry Of Municipal Affairs And Housing', 'Ministry Of Natural Resources And Forestry', 'Ministry Of Northern Development ', 'Ministry Of Public And Business Service Delivery', 'Ministry Of Solicitor General', 'Ministry Of The Attorney General', 'Ministry Of Tourism, Culture And Sport', 'Ministry Of Transportation', 'Office Of The Auditor General', 'Treasury Board Secretariat']",3,9.887510598012987,high_and_multi_ministry,High
City Of Toronto,4469740136.0,0.0215913882006207,high,12,"['Ministry Of Children, Community And Social Services', 'Ministry Of Economic Development,Job Creation And Trade', 'Ministry Of Education', 'Ministry Of Environment, Conservation And Parks', 'Ministry Of Health', 'Ministry Of Infrastructure', 'Ministry Of Long-Term Care', 'Ministry Of Municipal Affairs And Housing', 'Ministry Of Solicitor General', 'Ministry Of The Attorney General', 'Ministry Of Tourism, Culture And Sport', 'Ministry Of Transportation']",3,7.694848072384611,high_and_multi_ministry,High
Ontario Health/Sante Ontario,9479023373.0,0.0457890765865321,high,5,"['Ministry Of Education', 'Ministry Of Health', 'Ministry Of Labour, Immigration, Training And Skills Development', 'Ministry Of Long-Term Care', 'Ministry Of Solicitor General']",3,5.375278407684165,high_and_multi_ministry,High
Metrolinx,8717760904.0,0.0421117456924253,high,2,"['Ministry Of Infrastructure', 'Ministry Of Transportation']",3,3.2958368660043287,high_and_multi_ministry,High
Toronto District School Board,2709582519.0,0.0130888253565676,high,2,"['Ministry Of Education', 'Ministry Of Labour, Immigration, Training And Skills Development']",3,3.2958368660043287,high_and_multi_ministry,High
Payments Made For Services And Care Provided By Physicians And Practitioners,18202785225.0,0.0879298102724196,high,1,['Ministry Of Health'],3,2.079441541679836,none,Medium
Interest On Ontario Securities Public Issues,14755354675.0,0.0712767590804231,high,1,['Ministry Of Finance'],3,2.079441541679836,none,Medium
Odb,9639392332.0,0.0465637499106501,high,1,['Ministry Of Health'],3,2.079441541679836,none,Medium
Independent Electricity System Operator,6753702551.0,0.0326242262711632,high,1,['Ministry Of Energy'],3,2.079441541679836,none,Medium
Ontario Infrastructure And Lands Corporation,1714220433.0,0.0082806601064423,monitor,21,"['Ministry Of Agriculture, Food And Rural Affairs', 'Ministry Of Children, Community And Social Services', 'Ministry Of Colleges And Universities', 'Ministry Of Economic Development,Job Creation And Trade', 'Ministry Of Education', 'Ministry Of Environment, Conservation And Parks', 'Ministry Of Finance', 'Ministry Of Health', 'Ministry Of Indigenous Affairs', 'Ministry Of Infrastructure', 'Ministry Of Labour, Immigration, Training And Skills Development', 'Ministry Of Long-Term Care', 'Ministry Of Mines', 'Ministry Of Municipal Affairs And Housing', 'Ministry Of Natural Resources And Forestry', 'Ministry Of Northern Development ', 'Ministry Of Public And Business Service Delivery', 'Ministry Of Solicitor General', 'Ministry Of The Attorney General', 'Ministry Of Tourism, Culture And Sport', 'Ministry Of Transportation']",2,6.182084906716632,none,Monitor
Regional Municipality Of Peel,1064857506.0,0.0051438676725771,monitor,10,"['Ministry Of Children, Community And Social Services', 'Ministry Of Citizenship And Multiculturalism', 'Ministry Of Education', 'Ministry Of Environment, Conservation And Parks', 'Ministry Of Health', 'Ministry Of Infrastructure', 'Ministry Of Long-Term Care', 'Ministry Of Municipal Affairs And Housing', 'Ministry Of Solicitor General', 'Ministry Of Transportation']",2,4.795790545596741,none,Monitor
University Health Network,1857818996.0,0.0089743228752937,monitor,4,"['Ministry Of Children, Community And Social Services', 'Ministry Of Colleges And Universities', 'Ministry Of Health', 'Ministry Of Long-Term Care']",2,3.218875824868201,none,Monitor
Peel District School Board,1826969142.0,0.0088253005264816,monitor,4,"['Ministry Of Children, Community And Social Services', 'Ministry Of Education', 'Ministry Of Labour, Immigration, Training And Skills Development', 'Ministry Of Transportation']",2,3.218875824868201,none,Monitor
Hamilton Health Sciences Corp,1469062066.0,0.0070964056953426,monitor,3,"['Ministry Of Children, Community And Social Services', 'Ministry Of Health', 'Ministry Of Labour, Immigration, Training And Skills Development']",2,2.772588722239781,none,Monitor
York Region District School Board,1385906636.0,0.0066947176518568,monitor,3,"['Ministry Of Citizenship And Multiculturalism', 'Ministry Of Education', 'Ministry Of Labour, Immigration, Training And Skills Development']",2,2.772588722239781,none,Monitor
Trillium Health Partners,1375702734.0,0.006645426999036,monitor,3,"['Ministry Of Children, Community And Social Services', 'Ministry Of Health', 'Ministry Of Long-Term Care']",2,2.772588722239781,none,Monitor
Unity Health Toronto (O/A Providence St Josephs & St Michaels Healthcare),1227356758.0,0.0059288315240511,monitor,3,"['Ministry Of Colleges And Universities', 'Ministry Of Health', 'Ministry Of Long-Term Care']",2,2.772588722239781,none,Monitor
Toronto Catholic District School Board,1174265051.0,0.0056723683693281,monitor,3,"['Ministry Of Citizenship And Multiculturalism', 'Ministry Of Education', 'Ministry Of Labour, Immigration, Training And Skills Development']",2,2.772588722239781,none,Monitor
London Health Sciences Centre,1387958358.0,0.0067046286365749,monitor,2,"['Ministry Of Health', 'Ministry Of Solicitor General']",2,2.197224577336219,none,Monitor
Ottawa Hospital,1265417268.0,0.0061126854443058,monitor,2,"['Ministry Of Health', 'Ministry Of Solicitor General']",2,2.197224577336219,none,Monitor
Thames Valley District School Board,1205222470.0,0.0058219103182961,monitor,2,"['Ministry Of Education', 'Ministry Of Labour, Immigration, Training And Skills Development']",2,2.197224577336219,none,Monitor
Ottawa-Carleton District School Board,1044310459.0,0.0050446137440141,monitor,2,"['Ministry Of Education', 'Ministry Of Labour, Immigration, Training And Skills Development']",2,2.197224577336219,none,Monitor
Durham District School Board,1039513949.0,0.0050214438714338,monitor,2,"['Ministry Of Education', 'Ministry Of Labour, Immigration, Training And Skills Development']",2,2.197224577336219,none,Monitor
Rbc-Ontaxrebat,1735699074.0,0.008384414164115,monitor,1,['Ministry Of Finance'],2,1.3862943611198906,none,Monitor
Dh Corporation/Societe Dh,1706000001.0,0.0082409507423432,monitor,1,['Ministry Of Colleges And Universities'],2,1.3862943611198906,none,Monitor
Ontario Teachers' Pension Plan Board,1677697568.0,0.0081042338864787,monitor,1,['Ministry Of Education'],2,1.3862943611198906,none,Monitor
Cibc-Ontaxrebat,1099927600.0,0.0053132761819639,monitor,1,['Ministry Of Finance'],2,1.3862943611198906,none,Monitor
